#{"t_start": 1691680379.9299045, "env_id": "JSBSim-v0"}
r,l,t
186.36107,795,1109.159145
186.52721,803,1109.808971
185.070952,1130,1111.967748
86.287076,1200,1112.945477
76.797123,1200,1115.175046
78.061342,1200,1116.143835
70.858847,1200,1118.474977
185.608307,861,1119.170651
67.420256,1200,1121.386237
65.427435,1200,1123.61777
60.886578,1200,1124.588522
57.923847,1200,1126.790156
75.2225,1200,1127.762902
61.397831,1200,1129.956563
59.905736,1200,1130.920397
81.820145,1200,1133.122968
56.175719,1200,1135.343541
186.786187,1033,1136.172765
64.011351,1200,1138.408289
62.503366,1200,1139.379037
66.153524,1200,1141.649441
77.373218,1200,1143.900908
69.40417,1200,1144.875647
63.590382,1200,1147.135091
11.546099,1200,1148.101855
186.993211,1017,1150.207807
186.870629,774,1150.83172
64.433255,1200,1153.086177
59.95659,1200,1154.053939
185.954653,892,1156.057237
39.315305,1200,1157.026992
63.229748,1200,1159.241586
61.029741,1200,1161.470127
185.232039,758,1162.095036
64.722208,1200,1163.078745
185.232453,766,1164.950482
59.960857,1200,1165.919241
185.608209,822,1167.834832
63.031294,1200,1168.823524
40.715375,1200,1171.033139
60.665202,1200,1173.235762
185.983122,795,1173.877614
70.149148,1200,1176.084232
42.897131,1200,1177.072924
28.445339,1200,1179.302464
185.519009,866,1180.005114
186.265694,883,1181.939673
60.323108,1200,1182.904414
48.931428,1200,1185.116014
83.483586,1200,1186.084773
58.282131,1200,1188.291389
72.10587,1200,1190.495017
62.499608,1200,1191.466766
62.18507,1200,1193.688333
48.03985,1200,1194.658089
47.912012,1200,1196.892612
43.392452,1200,1197.867351
5.86668,1200,1200.102871
63.797539,1200,1202.342379
76.045511,1200,1203.311137
50.074177,1200,1205.562605
52.058674,1200,1206.530367
10.967455,1200,1208.836651
51.411099,1200,1211.128981
58.484178,1200,1212.191427
75.830976,1200,1214.517644
57.300625,1200,1215.485406
-91.165738,610,1217.22658
69.395333,1200,1218.194343
185.82614,828,1220.112924
186.481856,938,1220.872382
184.956874,775,1221.499285
46.106,1200,1223.69696
65.283086,1200,1225.890593
66.696362,1200,1226.870316
186.007615,840,1228.776939
-0.628657,1200,1229.741712
66.371931,1200,1231.930386
77.04949,1200,1232.900141
44.456237,1200,1235.091808
48.726484,1200,1237.278492
76.08038,1200,1238.249244
-85.227786,746,1238.850234
-55.510081,587,1240.549548
47.978971,1200,1241.52927
51.408399,1200,1243.733894
50.099021,1200,1245.922572
58.85001,1200,1246.89432
-84.787777,669,1247.43551
-98.943668,518,1249.078014
58.339883,1200,1250.048767
185.121149,1178,1252.22947
185.652724,895,1252.951056
186.479713,785,1254.813824
41.522811,1200,1255.791553
185.214153,964,1257.805813
62.612937,1200,1258.773576
48.449807,1200,1260.974213
-73.542826,902,1261.702775
12.713264,1200,1263.902416
185.980449,798,1264.547259
-93.091953,613,1266.26551
44.566529,1200,1267.235265
73.913938,1200,1269.436899
55.51358,1200,1270.408648
58.421722,1200,1272.608289
56.028971,1200,1274.805936
82.580108,1200,1275.775691
13.805101,1200,1277.972342
48.352473,1200,1278.9411
186.501793,813,1280.819815
-16.076124,835,1281.494557
-65.384687,629,1282.000863
49.124098,1200,1284.202497
43.18965,1200,1286.406124
60.893757,1200,1287.37588
79.02274,1200,1289.574524
-80.103382,605,1290.06289
185.981055,947,1292.060208
49.515789,1200,1293.028966
-60.893623,579,1293.495406
-68.739554,445,1295.080104
-47.661068,528,1295.507673
186.336163,846,1296.192382
55.743012,1200,1298.398003
72.231059,1200,1299.365765
186.504756,886,1301.31624
58.295675,1200,1302.284998
186.010286,1147,1304.434805
185.926722,1039,1306.496907
67.322492,1200,1307.466662
-62.735138,608,1307.957021
-51.273526,618,1309.683246
64.888209,1200,1310.662968
47.646727,1200,1312.857625
43.812622,1200,1313.824395
49.570743,1200,1316.024032
-32.92219,1034,1318.089124
46.308858,1200,1319.051904
46.83061,1200,1321.243568
48.538025,1200,1322.212327
-56.161963,856,1324.127918
28.638123,1200,1325.105647
-96.089944,363,1325.399663
186.345827,845,1327.312264
186.284092,1050,1328.159429
-32.509875,1038,1330.22153
-23.964159,855,1330.912219
36.651442,1200,1333.104883
46.744064,1200,1335.298543
77.340631,1200,1336.269296
-96.36494,676,1336.815469
59.175325,1200,1339.018099
-121.880239,428,1339.363942
-22.356168,1006,1341.423053
-90.743427,426,1341.768896
50.109463,1200,1343.974516
55.655793,1200,1344.947262
-111.838025,448,1345.310048
62.829159,1200,1347.509689
68.778774,1200,1348.477451
-20.958624,1032,1350.552508
71.745244,1200,1352.759125
-111.959379,376,1353.063108
52.710647,1200,1354.038844
68.823821,1200,1356.255428
78.710993,1200,1358.477992
-35.492667,961,1359.258381
51.073397,1200,1361.460018
58.672153,1200,1362.422842
186.087038,782,1364.281574
55.373168,1200,1365.25133
-59.92565,591,1365.728733
57.816638,1200,1367.945317
-103.393233,463,1368.31807
56.256984,1200,1370.525683
56.655241,1200,1371.494442
82.330154,1200,1373.696076
25.735337,1200,1375.898707
84.179411,1200,1376.868462
41.929509,1200,1379.081059
186.250772,824,1379.745836
81.188028,1200,1381.979362
58.683892,1200,1382.951111
22.728169,1200,1385.164705
-107.308036,425,1385.508555
36.115647,1200,1387.713179
-91.099118,476,1388.096895
44.774162,1200,1390.302515
47.596554,1200,1391.273268
61.532182,1200,1393.486861
59.438544,1200,1394.455624
79.398117,1200,1396.666224
3.793639,1200,1397.63598
56.430638,1200,1399.85356
50.180419,1200,1402.072138
185.962477,787,1402.710003
53.128718,1200,1404.934561
80.376344,1200,1405.904316
186.080184,769,1407.784027
49.762234,1200,1408.753783
55.279096,1200,1410.980335
37.537021,1200,1411.943115
185.557262,789,1414.338099
79.894652,1200,1415.309848
23.274648,1200,1417.510485
70.283921,1200,1418.478247
-53.892428,612,1420.209455
70.63159,1200,1421.178214
52.908731,1200,1423.374864
49.434393,1200,1425.579489
-113.0571,822,1426.244264
-105.531681,571,1426.70572
185.955339,1127,1428.848551
12.793213,1200,1429.818306
-107.681634,645,1431.572438
44.692236,1200,1432.5402
186.035165,876,1434.481704
-69.797092,624,1434.986017
184.9007,811,1435.641822
60.074521,1200,1437.831496
47.983003,1200,1440.02715
